iron tawa/pan/nail | is | left
star | appears | higher than its position when viewed
star | appears | higher than its actual position
star | appears | higher than its actual position viewed
star | appears | slightly higher than its actual position viewed near horizon
star | appears | slightly higher than its actual position
star | appears | slightly higher than its actual position when viewed near horizon
they | approximate | sources
they | approximate | sources of light
stars | are | very distant
stars | are | distant
they | approximate | point-sized sources of light
they | approximate | point-sized sources
apparent position | amount of | Science 194 2018-19
planets | are seen as | sources
planets | are thus seen as | sources
planets | are | seen
planets | are | much closer
planets | are much closer to | earth
planets | are closer to | earth
planets | are | thus seen
planets | are seen as | extended sources
planets | are | closer
planets | are thus seen as | extended sources
we | consider as | collection of number of sources
we | consider planet as | collection of large number of sources of light
total variation | is in | amount of light entering from individual point-sized sources
total variation | nullifying | effect
we | consider as | collection of large number of sources
variation | thereby nullifying | effect
we | consider as | collection of number
we | consider planet as | collection of large number of point-sized sources of light
we | consider as | collection of large number
we | consider planet as | collection of large number of sources
we | consider as | collection of number of point-sized sources
we | consider planet as | collection of number of sources
we | consider planet as | collection of number of sources of light
we | consider as | collection
we | consider planet as | collection of number of point-sized sources of light
total variation | thereby nullifying | twinkling effect
we | consider as | collection of number of sources of light
we | consider planet as | collection
we | consider as | collection of number of point-sized sources of light
variation | nullifying | twinkling effect
we | consider planet as | collection of large number
we | consider planet as | collection of number
we | consider as | collection of large number of sources of light
we | consider as | collection of large number of point-sized sources
variation | nullifying | effect
total variation | nullifying | twinkling effect
variation | thereby nullifying | twinkling effect
total variation | thereby nullifying | effect
we | consider planet as | collection of large number of point-sized sources
we | consider | planet
we | consider planet as | collection of number of point-sized sources
we | consider as | collection of large number of point-sized sources of light
Sun | is visible to | us
Sun | is visible before | sunrise
Sun | is | visible to us about 2 minutes
Sun | is | visible
Sun | is visible at_time | about 2 minutes
Sun | is | visible to us about 2 minutes before sunrise
Sun | is | visible about 2 minutes before sunrise
Sun | is | visible about 2 minutes before actual sunrise
Sun | is visible before | actual sunrise
Sun | is | visible to us about 2 minutes before actual sunrise
Sun | is | visible to us before actual sunrise
Sun | is | visible to us before sunrise
we | mean | actual crossing of horizon
we | mean | crossing
we | mean | crossing of horizon
we | crossing of | horizon
we | mean | actual crossing of horizon by Sun
we | mean | actual crossing
we | actual crossing of | horizon
we | actual crossing by | Sun
we | mean By | actual sunrise
we | mean | crossing by Sun
we | mean | crossing of horizon by Sun
we | crossing by | Sun
we | mean | actual crossing by Sun
we | mean By | sunrise
Fig. 11.10 | shows | positions of Sun
Fig. | shows | actual positions of Sun
Fig. | shows positions with respect to | horizon
Fig. 11.10 | shows positions with respect to | horizon
Fig. 11.10 | shows | actual positions
Fig. | shows | actual positions
Fig. 11.10 | shows | actual positions of Sun
Fig. | shows | positions
Fig. | shows | positions of Sun
Fig. 11.10 | shows | positions
time difference | is | about 2 minutes
apparent flattening | is due to | phenomenon
apparent flattening | is | also due
apparent flattening | is | due
Sun | of | disc
apparent flattening | is due to | same phenomenon
apparent flattening | is also due to | phenomenon
apparent flattening | is also due to | same phenomenon
11.6 SCATTERING | is in | nature
Figure 11.10 Atmospheric refraction effects | is with | objects around us
blue colour | some | sunset
colour | is in | deep sea
colour | some | reddening of sun at sunrise
colour | some | reddening of sun
colour | some | reddening
blue colour | are | some
blue colour | some | reddening of sun
colour | are | some
colour | some | reddening at sunrise
we | are | familiar
colour | some | sunset
blue colour | some | reddening of sun at sunrise
blue colour | some | reddening
we | are | familiar with
blue colour | colour in | deep sea
blue colour | colour of | water
blue colour | some | reddening at sunrise
you | have learnt In | previous class
you | have learnt by | colloidal particles
you | have learnt about | scattering of light
you | have learnt In | class
you | have learnt about | scattering
size | is | relatively larger
size | is | where relatively larger
size | is | larger
size | is | where larger
its path | However becomes | visible
its path | becomes | visible
earth 's atmosphere | is | heterogeneous mixture
earth 's atmosphere | is mixture of | minute particles
earth 's atmosphere | is heterogeneous mixture of | minute particles
earth | has | atmosphere
atmosphere | is | heterogeneous
earth 's atmosphere | is | mixture
light | being | reflected
light | reaches | us
light | being | reflected diffusely
phenomenon | gives | rise
fine beam | enters room through | small hole
fine beam | enters | smoke-filled room
smoke-filled room | fine beam of | sunlight
fine beam | enters room through | hole
room | fine beam of | sunlight
beam | enters room through | small hole
smoke-filled room | beam of | sunlight
fine beam | enters | room
beam | enters | smoke-filled room
room | beam of | sunlight
beam | enters | room
beam | enters room through | hole
scattering | makes | particles visible
scattering | Thus makes | particles visible
Tyndall effect | be | can also observed
sunlight | passes through | canopy of forest
Tyndall effect | be | can observed
sunlight | passes through | canopy of dense forest
sunlight | passes through | canopy
tiny water droplets | is in | mist scatter light
colour | depends on | size of scattering particles
colour | depends on | size
colour | depends on | size of particles
particles | scatter | light
fine particles | scatter | blue light
particles | scatter | mainly blue light
fine particles | scatter | light
particles | scatter | blue light
fine particles | scatter | mainly blue light
light | may even appear | white
scattered light | may even appear | white
size | is | large enough
scattered light | may appear | white
size | is | large
light | may appear | white
Colourful World 2018-19 11.6.2 | is | Why colour
Colourful World | is colour of | Sky Blue
Colourful World 2018-19 11.6.2 | is colour of | Sky Blue
Colourful World 2018-19 11.6.2 | is | colour
Colourful World | is | Why colour of Sky Blue
Colourful World | is colour of | clear Sky Blue
Colourful World 2018-19 11.6.2 | is | Why colour of clear Sky Blue
Colourful World 2018-19 11.6.2 | is | Why colour of Sky Blue
Colourful World | is | Why colour of clear Sky Blue
Colourful World | is | Why colour
Colourful World 2018-19 11.6.2 | is colour of | clear Sky Blue
Colourful World | is | colour
molecules | is in | atmosphere
molecules | have | smaller than wavelength of visible light
molecules | have | size smaller than wavelength of light
molecules | have | smaller than wavelength
molecules | have | size smaller than wavelength
molecules | have | smaller
molecules | have | size smaller than wavelength of visible light
molecules | have | smaller than wavelength of light
molecules | have | size smaller
These | are | more effective in light of wavelengths than light at red end
These | are effective in | scattering light of shorter wavelengths
These | are | more effective in light of wavelengths than light
These | are | effective in scattering light of wavelengths than light at end
These | are | effective in scattering light of wavelengths at blue end than light of wavelengths
These | are | more effective in light of wavelengths at blue end than light of longer wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths than light at end
These | are | effective in light of wavelengths at end than light at end
These | are | more effective in light of shorter wavelengths than light
These | are | more effective in scattering light of wavelengths than light at red end
These | are | more effective in light of wavelengths than light of longer wavelengths at end
These | are | effective in scattering light of shorter wavelengths at end than light of longer wavelengths at red end
These | are effective in | light of shorter wavelengths at end
These | are effective than | light at red end
These | are | more effective in light of wavelengths at blue end than light at red end
These | are | more effective in light of shorter wavelengths than light of longer wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths at blue end than light
These | are | more effective in light of shorter wavelengths at end than light at end
These | are | more effective in light of wavelengths at blue end than light of longer wavelengths at end
These | are | effective in light of shorter wavelengths at blue end than light at end
These | are | more effective in scattering light of wavelengths than light
These | are | effective in scattering light of shorter wavelengths at end than light of longer wavelengths
These | are | effective in light of shorter wavelengths than light of longer wavelengths
These | are | effective in scattering light than light of wavelengths at red end
These | are | effective in light of wavelengths at end than light of wavelengths
These | are more effective in | light
These | are | more effective in scattering light of wavelengths at end than light of longer wavelengths at red end
These | are | more effective in scattering light of wavelengths at blue end than light of wavelengths at red end
These | are | effective in scattering light of wavelengths at end than light of longer wavelengths at end
These | are | more effective in scattering light of shorter wavelengths than light of wavelengths at end
These | are | effective in light of shorter wavelengths at end than light of wavelengths at red end
These | are | more effective in scattering light of wavelengths at end than light of longer wavelengths at end
These | are | more effective in scattering light of wavelengths at end than light of wavelengths at end
These | are | more effective in light of shorter wavelengths at end than light of longer wavelengths
These | are | effective in scattering light than light of wavelengths at end
These | are | more effective in light of wavelengths than light of wavelengths at end
These | are | more effective in light of shorter wavelengths than light of wavelengths at end
These | are | more effective in scattering light than light of longer wavelengths at end
These | are | effective in scattering light of wavelengths than light of wavelengths
These | are | more effective in light of shorter wavelengths at blue end than light of longer wavelengths
These | are | more effective in light of wavelengths at end than light of wavelengths at red end
These | are | effective in light of shorter wavelengths than light of longer wavelengths at red end
These | are | effective in light than light of longer wavelengths at red end
These | are | effective in scattering light of wavelengths than light of wavelengths at end
These | are | effective in light of wavelengths at end than light of longer wavelengths
These | are | effective in light of wavelengths at blue end than light of longer wavelengths at end
These | are | effective in scattering light than light of longer wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths at blue end than light at end
These | are | effective in light of wavelengths than light of wavelengths
These | are effective than | light of wavelengths at end
These | are | more effective in scattering light of wavelengths at blue end than light of wavelengths at end
These | are | effective in light of shorter wavelengths at end than light of longer wavelengths
These | are | more effective in light of shorter wavelengths at end than light of wavelengths at red end
These | are | effective in scattering light of wavelengths than light
These | are | effective in scattering light of shorter wavelengths at blue end than light at red end
These | are | effective in scattering light of shorter wavelengths than light at end
These | are | more effective in scattering light of wavelengths than light of wavelengths at end
These | are | more effective in light of shorter wavelengths at blue end than light of longer wavelengths at end
These | are | effective in light of wavelengths at blue end than light at end
These | are | effective in light of wavelengths at blue end than light of wavelengths at end
These | are | effective in scattering light of shorter wavelengths at end than light at end
These | are more effective in | scattering light of shorter wavelengths at blue end
These | are | effective in scattering light of shorter wavelengths at blue end than light of longer wavelengths
These | are | effective in scattering light of shorter wavelengths than light of wavelengths at end
These | are | effective in light than light of wavelengths at red end
These | are effective in | light of shorter wavelengths at blue end
These | are | effective in light of wavelengths at end than light of longer wavelengths at red end
These | are | more effective in scattering light than light of longer wavelengths
These | are | effective in scattering light of wavelengths at end than light of longer wavelengths
These | are | more effective in light than light at red end
These | are | effective in light of shorter wavelengths than light
These | are | effective in scattering light than light of wavelengths
These | are | effective in light than light of longer wavelengths
These | are | effective in light of shorter wavelengths at end than light
These | are more effective in | scattering light of shorter wavelengths at end
These | are | more effective in scattering light of shorter wavelengths at end than light at end
These | are | more effective in light of wavelengths at blue end than light at end
These | are | effective in scattering light of wavelengths at blue end than light at end
These | are | more effective in scattering light of wavelengths at blue end than light at red end
These | are | effective in light of shorter wavelengths at blue end than light of wavelengths at end
These | are | effective in scattering light of wavelengths than light at red end
These | are more effective than | light of longer wavelengths at end
These | are | more effective in scattering light of wavelengths at blue end than light at end
These | are | more effective in light of wavelengths at blue end than light of longer wavelengths
These | are | more effective in light of shorter wavelengths than light of wavelengths at red end
These | are | more effective in light than light of wavelengths
These | are | effective in scattering light of wavelengths at blue end than light of longer wavelengths at end
These | are more effective in | scattering light of wavelengths at end
These | are | more effective in light of wavelengths at blue end than light of wavelengths
These | are | effective in light of wavelengths than light of wavelengths at red end
These | are effective in | scattering light of wavelengths
These | are | more effective in light of shorter wavelengths at end than light
These | are effective than | light of wavelengths at red end
These | are more effective in | light of shorter wavelengths
These | are more effective in | light of shorter wavelengths at end
These | are more effective than | light at red end
These | are more effective in | scattering light
These | are | effective in light of wavelengths than light at end
These | are more effective in | light of shorter wavelengths at blue end
These | are | more effective in scattering light of shorter wavelengths than light
These | are | more effective in scattering light of wavelengths at end than light of wavelengths
These | are | more effective in scattering light of shorter wavelengths at blue end than light of wavelengths at end
These | are effective in | scattering light of wavelengths at blue end
These | are | more effective in light of wavelengths at end than light of wavelengths
These | are more effective than | light of wavelengths at red end
These | are more effective in | scattering light of shorter wavelengths
These | are more effective in | light of wavelengths at end
These | are | more effective in scattering light of shorter wavelengths at end than light of longer wavelengths at red end
These | are | more effective in light of wavelengths at end than light at red end
These | are more effective in | scattering light of wavelengths at blue end
These | are | effective in light of shorter wavelengths than light of wavelengths
These | are | effective in light than light of longer wavelengths at end
These | are | more effective in light of shorter wavelengths at blue end than light at end
These | are more effective than | light of wavelengths at end
These | are | more effective in light of wavelengths at end than light of longer wavelengths
These | are | more effective in scattering light of shorter wavelengths at blue end than light at red end
These | are | effective in light than light of wavelengths at end
These | are | more effective in light of wavelengths than light of wavelengths at red end
These | are | effective in scattering light of wavelengths at end than light of longer wavelengths at red end
These | are | effective in light of wavelengths at blue end than light of longer wavelengths
These | are | effective in scattering light of wavelengths than light of longer wavelengths
These | are | effective in light of wavelengths at blue end than light of wavelengths at red end
These | are | more effective in scattering light of wavelengths at blue end than light
These | are | effective in scattering light of wavelengths at blue end than light of longer wavelengths at red end
These | are | more effective in light of wavelengths than light of wavelengths
These | are | effective in light of wavelengths at blue end than light of wavelengths
These | are | effective in scattering light of shorter wavelengths at end than light
These | are | effective in light of shorter wavelengths at end than light of wavelengths at end
These | are | more effective in scattering light of wavelengths at blue end than light of longer wavelengths
These | are effective in | light
These | are | effective in light of wavelengths at blue end than light at red end
These | are | more effective in light of wavelengths at end than light of longer wavelengths at red end
These | are | effective in scattering light of shorter wavelengths than light of wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths than light of wavelengths
These | are | more effective in scattering light of shorter wavelengths than light of longer wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths at blue end than light of wavelengths at red end
These | are | effective in scattering light of shorter wavelengths than light of longer wavelengths at red end
These | are | effective in scattering light of shorter wavelengths at end than light of wavelengths at end
These | are | effective in scattering light of wavelengths at blue end than light of wavelengths at red end
These | are | more effective in scattering light of wavelengths than light at end
These | are | effective in light of shorter wavelengths at blue end than light of longer wavelengths at end
These | are | more effective in scattering light than light of longer wavelengths at red end
These | are | effective in light of wavelengths than light of longer wavelengths at red end
These | are | effective in scattering light of wavelengths than light of wavelengths at red end
These | are | effective in scattering light of shorter wavelengths than light of wavelengths
These | are | effective in scattering light of wavelengths at blue end than light of wavelengths at end
These | are | effective in scattering light of wavelengths at end than light at end
These | are | more effective in scattering light of wavelengths than light of wavelengths at red end
These | are | effective in scattering light of shorter wavelengths than light at red end
These | are | more effective in light of shorter wavelengths at end than light of wavelengths at end
These | are | effective in light of shorter wavelengths at blue end than light of longer wavelengths at red end
These | are | more effective in scattering light of wavelengths than light of longer wavelengths at end
These | are | effective in scattering light of shorter wavelengths at end than light of wavelengths
These | are | more effective in scattering light of wavelengths at end than light of longer wavelengths
These | are | more effective in scattering light of wavelengths at end than light at end
These | are | more effective in scattering light of shorter wavelengths at blue end than light of longer wavelengths at end
These | are effective than | light of wavelengths
These | are | more effective in scattering light of wavelengths than light of longer wavelengths at red end
These | are more effective in | light of wavelengths
These | are | more effective in light of shorter wavelengths at blue end than light
These | are | effective in scattering light of wavelengths at end than light of wavelengths at red end
These | are more effective than | light of longer wavelengths at red end
These | are | effective in light of shorter wavelengths at blue end than light of wavelengths at red end
These | are more effective than | light of wavelengths
These | are effective in | scattering light
These | are effective in | scattering light of wavelengths at end
These | are | effective in scattering light of shorter wavelengths at blue end than light of wavelengths
These | are | more effective in scattering light of wavelengths at end than light at red end
These | are | effective in light of shorter wavelengths at end than light at red end
These | are | effective in light of shorter wavelengths at blue end than light
These | are | effective in light than light at end
These | are effective than | light at end
These | are | more effective in scattering light of shorter wavelengths than light of longer wavelengths at end
These | are | more effective in light of shorter wavelengths at end than light of longer wavelengths at red end
These | are | more effective in scattering light of wavelengths at blue end than light of longer wavelengths at end
These | are | more effective in light than light of longer wavelengths at red end
These | are | effective in light of wavelengths at end than light at red end
These | are | more effective
These | are | effective in scattering light of wavelengths at end than light
These | are | effective in scattering light of wavelengths at blue end than light
These | are | more effective in scattering light than light of wavelengths at end
These | are | effective in light of wavelengths than light
These | are | effective in scattering light of shorter wavelengths than light
These | are | effective in scattering light of shorter wavelengths at blue end than light of wavelengths at end
These | are | more effective in scattering light of shorter wavelengths than light at red end
These | are | effective in light of shorter wavelengths than light of longer wavelengths at end
These | are | effective in scattering light than light of longer wavelengths at end
These | are | effective in light than light
These | are effective than | light of longer wavelengths at end
These | are | more effective in scattering light of shorter wavelengths than light of wavelengths at red end
These | are | effective in light of wavelengths than light of wavelengths at end
These | are | more effective in light of wavelengths than light of longer wavelengths
These | are | effective in light of wavelengths than light of longer wavelengths at end
These | are | more effective in light than light of longer wavelengths at end
These | are | more effective in light of shorter wavelengths at end than light of wavelengths
These | are | more effective in scattering light of shorter wavelengths at end than light of longer wavelengths
These | are | effective in scattering light of shorter wavelengths at end than light at red end
These | are effective than | light of longer wavelengths at red end
These | are | effective in light of wavelengths at end than light
These | are | more effective in light of shorter wavelengths at end than light of longer wavelengths at end
These | are | effective in scattering light of shorter wavelengths at blue end than light at end
These | are | effective in scattering light of shorter wavelengths at end than light of longer wavelengths at end
These | are | more effective in light than light of wavelengths at end
These | are | more effective in light of shorter wavelengths at end than light at red end
These | are | effective in scattering light of wavelengths than light of longer wavelengths at end
These | are | effective in light of wavelengths at blue end than light of longer wavelengths at red end
These | are | effective in light of shorter wavelengths than light of wavelengths at end
These | are | more effective in scattering light of shorter wavelengths than light of longer wavelengths
These | are | effective in light of shorter wavelengths at end than light at end
These | are | more effective in scattering light of shorter wavelengths at end than light
These | are | more effective in light than light
These | are | effective in scattering light of wavelengths at blue end than light at red end
These | are more effective than | light of longer wavelengths
These | are | effective in scattering light of shorter wavelengths at blue end than light of wavelengths at red end
These | are | more effective in scattering light than light of wavelengths at red end
These | are | more effective in scattering light than light
These | are | more effective in scattering light of shorter wavelengths at end than light at red end
These | are | more effective in light of wavelengths than light at end
These | are | more effective in scattering light than light at red end
These | are | more effective in scattering light of wavelengths at end than light of wavelengths at red end
These | are | effective in light of shorter wavelengths than light of wavelengths at red end
These | are | more effective in light of wavelengths at end than light of wavelengths at end
These | are | more effective in scattering light of wavelengths at end than light
These | are | effective in light of shorter wavelengths at blue end than light of longer wavelengths
These | are | effective in light than light at red end
These | are | effective in light of shorter wavelengths at blue end than light of wavelengths
These | are effective in | scattering light of shorter wavelengths at blue end
These | are effective than | light
These | are | more effective in light of wavelengths at blue end than light of wavelengths at end
These | are | effective in scattering light of shorter wavelengths at blue end than light of longer wavelengths at end
These | are effective in | scattering light of shorter wavelengths at end
These | are | effective in light of wavelengths at end than light of longer wavelengths at end
These | are more effective in | light of wavelengths at blue end
These | are | more effective in scattering light of wavelengths at blue end than light of wavelengths
These | are | more effective in light of shorter wavelengths at blue end than light of longer wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths at end than light of wavelengths
These | are | more effective in scattering light than light at end
These | are | effective in scattering light of shorter wavelengths than light of longer wavelengths at end
These | are | more effective in light of wavelengths at end than light of longer wavelengths at end
These | are | effective in scattering light of shorter wavelengths at blue end than light of longer wavelengths at red end
These | are | more effective in light of shorter wavelengths than light of longer wavelengths at end
These | are | effective in scattering light of shorter wavelengths than light of longer wavelengths
These | are | effective
These | are more effective in | scattering light of wavelengths
These | are | effective in scattering light of wavelengths at end than light at red end
These | are | more effective in light of wavelengths than light of longer wavelengths at red end
These | are | more effective in scattering light of shorter wavelengths at end than light of wavelengths at end
These | are | more effective in scattering light of shorter wavelengths at end than light of wavelengths at red end
These | are | effective in scattering light of wavelengths at blue end than light of longer wavelengths
These | are | effective in scattering light of wavelengths at end than light of wavelengths at end
These | are more effective than | light
These | are effective than | light of longer wavelengths
These | are | more effective in scattering light than light of wavelengths
These | are | more effective in light than light at end
These | are | effective in light of shorter wavelengths than light at end
These | are | more effective in light of wavelengths at end than light
These | are | effective in light of shorter wavelengths at blue end than light at red end
These | are | more effective in scattering light of wavelengths than light of wavelengths
These | are | effective in light of shorter wavelengths at end than light of wavelengths
These | are | effective in light of wavelengths than light at red end
These | are effective in | light of wavelengths at blue end
These | are | effective in light of wavelengths than light of longer wavelengths
These | are | effective in scattering light of wavelengths than light of longer wavelengths at red end
These | are effective in | light of wavelengths
These | are | effective in scattering light than light
These | are | more effective in light of wavelengths at blue end than light
These | are more effective than | light at end
These | are | effective in scattering light than light at end
These | are | more effective in scattering light of shorter wavelengths at blue end than light of wavelengths
These | are | more effective in light of shorter wavelengths than light at end
These | are | effective in light of wavelengths at end than light of wavelengths at red end
These | are | effective in scattering light of shorter wavelengths at blue end than light
These | are | effective in scattering light of shorter wavelengths at end than light of wavelengths at red end
These | are | more effective in light than light of longer wavelengths
These | are | effective in light of wavelengths at end than light of wavelengths at end
These | are | more effective in light of shorter wavelengths at blue end than light of wavelengths
These | are | effective in scattering light than light at red end
These | are | more effective in scattering light of wavelengths than light of longer wavelengths
These | are | more effective in light than light of wavelengths at red end
These | are effective in | light of wavelengths at end
These | are | effective in scattering light of wavelengths at end than light of wavelengths
These | are | more effective in light of shorter wavelengths at blue end than light of wavelengths at red end
These | are effective in | light of shorter wavelengths
These | are | more effective in light of shorter wavelengths than light at red end
These | are | effective in light of shorter wavelengths than light at red end
These | are | effective in scattering light than light of longer wavelengths
These | are | effective in light of shorter wavelengths at end than light of longer wavelengths at end
These | are | effective in light than light of wavelengths
These | are | more effective in scattering light of wavelengths at blue end than light of longer wavelengths at red end
These | are | effective in light of wavelengths at blue end than light
These | are | more effective in light of wavelengths at end than light at end
These | are | more effective in light of wavelengths at blue end than light of wavelengths at red end
These | are | effective in light of shorter wavelengths at end than light of longer wavelengths at red end
These | are | more effective in light of shorter wavelengths at blue end than light at red end
These | are | more effective in scattering light of shorter wavelengths at end than light of longer wavelengths at end
These | are | more effective in scattering light of shorter wavelengths at blue end than light of longer wavelengths
These | are | more effective in scattering light of shorter wavelengths at blue end than light of longer wavelengths at red end
These | are | more effective in light of shorter wavelengths than light of wavelengths
These | are | more effective in light of shorter wavelengths at blue end than light of wavelengths at end
These | are | more effective in light of shorter wavelengths than light of longer wavelengths
wavelength | greater than | blue light
red light | has | wavelength
red light | has | wavelength about 1.8 times greater
wavelength | greater than | light
red light | has | wavelength greater than blue light
red light | has | wavelength greater than light
light | has | wavelength about 1.8 times greater than blue light
red light | has | wavelength about 1.8 times greater than light
light | has | wavelength greater than light
light | has | wavelength greater
red light | has | wavelength about 1.8 times greater than blue light
light | has | wavelength about 1.8 times greater than light
wavelength | greater | about 1.8 times
light | has | wavelength about 1.8 times greater
light | has | wavelength
red light | has | wavelength greater
light | has | wavelength greater than blue light
fine particles | is in | air scatter
scattered blue light | enters | our eyes
light | enters | our eyes
scattered light | enters | our eyes
blue light | enters | our eyes
danger signal lights | are red in | colour
danger signal lights | are | red
red | is | least scattered
red | is | scattered
red | is scattered by | fog
red | is least scattered by | fog
it | can | Therefore can seen in colour
it | can | can seen at distance
it | can | can seen in colour
it | can | Therefore can seen in colour at distance
it | can | Therefore can seen
it | can | Therefore can seen in same colour at distance
it | can | can seen in colour at distance
it | can | can seen in same colour at distance
it | can | can seen
it | can | Therefore can seen at distance
it | can | Therefore can seen in same colour
it | can | can seen in same colour
you | Have seen sky at | sunset
you | Have seen | sky
you | Have seen at | sunset
Sun | appear | red
Sun | appear | surrounding sky
Sun | appear | sky
blue colour | reddish appearance at | sunrise
us | understand | colour
us | do | activity
colour | reddish appearance at | sunrise
us | understand | blue colour of sky
colour | reddish appearance of | Sun
blue colour | reddish appearance of | Sun
us | understand | colour of sky
colour | appearance of | Sun
blue colour | appearance of | Sun
blue colour | appearance at | sunrise
us | understand | blue colour
colour | appearance at | sunrise
white light | of source is | S
light beam | pass through | transparent glass tank
light beam | pass through | T
beam | pass through | transparent glass tank
beam | pass through | T
light beam | pass through | glass tank
beam | pass through | glass tank
beam | pass through | circular hole made in cardboard
beam | pass through | hole made in cardboard
beam | pass through | hole made
beam | pass through | circular hole
beam | pass through | hole
beam | pass through | circular hole made
beam | pass through | c
You | will find | fine microscopic sulphur particles precipitating to 3 minutes
You | will find | microscopic sulphur particles precipitating to 3 minutes
You | will find | fine microscopic sulphur particles precipitating
You | will find | fine microscopic sulphur particles precipitating in about 2
You | will find | sulphur particles precipitating
You | will find | sulphur particles
You | will find | fine microscopic sulphur particles
You | will find | fine sulphur particles precipitating in about 2 to 3 minutes
You | will find | microscopic sulphur particles precipitating
You | will find | microscopic sulphur particles precipitating in about 2
You | will find | microscopic sulphur particles
You | will find | sulphur particles precipitating in about 2
You | will find | sulphur particles precipitating to 3 minutes
You | will find | microscopic sulphur particles precipitating in about 2 to 3 minutes
You | will find | fine sulphur particles precipitating to 3 minutes
You | will find | fine sulphur particles precipitating in about 2
You | will find | fine microscopic sulphur particles precipitating in about 2 to 3 minutes
You | will find | fine sulphur particles
You | will find | fine sulphur particles precipitating
You | will find | sulphur particles precipitating in about 2 to 3 minutes
you | can observe light from | three sides of glass tank
you | can observe | blue light
you | can observe light from | three sides
you | can observe | light
sulphur particles | begin | form
This | is due by | minute colloidal sulphur particles
This | is | due to scattering of wavelengths by minute colloidal sulphur particles
This | is | due to scattering of short wavelengths by minute colloidal sulphur particles
This | is due to | scattering of wavelengths
This | is | due
This | is due to | scattering
This | is due to | scattering of short wavelengths
This | is | due to scattering by minute colloidal sulphur particles
It | is | interesting
It | observe at | first red colour
It | observe at | colour
It | observe at | first orange red colour
It | observe at | orange colour
It | observe at | orange red colour
It | observe at | first colour
It | observe at | red colour
It | observe on | screen
It | observe at | first orange colour
arrangement | observing | scattering
you | understand | colour
you | understand | colour of sky
you | understand | bluish colour of sky
you | understand | bluish colour
Light | passes through | thicker layers of air
Light | reaching | our eyes
our | eyes | Fig. 11.12
Light | passes through | thicker layers of air in earth 's atmosphere
Light | passes through | thicker layers in earth 's atmosphere
Light | passes through | layers of air
Light | passes through | thicker layers
Light | passes through | layers of air in earth 's atmosphere
Light | passes through | layers
thicker layers | is in | earth 's atmosphere
Light | passes through | layers in earth 's atmosphere
earth | in | atmosphere
Light | reaching | Fig. 11.12
light | would travel | relatively shorter distance
light | would travel | shorter distance
light | However would travel | distance
light | However would travel | shorter distance
light | However would travel | relatively shorter distance
light | would travel | distance
white | are | scattered
Sun | appears At | noon
This | gives | rise to reddish appearance
This | gives | rise to appearance of Sun
This | gives | rise to reddish appearance of Sun
This | gives | rise
This | gives | rise to appearance
ability | adjusting | its focal length
ability | adjusting | its length
eye | can see objects without | strain
eye | can see objects without | clearly strain
eye | can see | objects
it | is | For young adult with vision about 25 cm
it | is | about 25 cm
it | is | For adult with normal vision about 25 cm
it | is | For young adult about 25 cm
it | is | For adult about 25 cm
it | is | For young adult with normal vision about 25 cm
it | is | For adult with vision about 25 cm
refractive defects | include | myopia
defects | include | myopia
common defects | include | myopia
common refractive defects | include | myopia
image | is | focussed
Myopia | using | concave lens of power
Myopia | using | lens of power
Myopia | using | concave lens
Myopia | using | lens
Myopia | using | concave lens of suitable power
Myopia | using | lens of suitable power
short-sightedness | is | focussed
image | is focussed before | retina
short-sightedness | is | focussed before retina
Myopia | is | corrected
image | is focussed beyond | retina
Hypermetropia | is | corrected
Hypermetropia | using | convex lens of suitable power
Hypermetropia | using | convex lens
far-sightedness | is | focussed
Hypermetropia | using | convex lens of power
image | is | focussed
far-sightedness | is | focussed beyond retina
eye | loses | its power
eye | loses | its power of accommodation
splitting | is | called
splitting | is called | dispersion
Scattering | causes | colour of sky
Scattering | causes | colour
Scattering | reddening of | Sun
colour | Scattering of | light
Scattering | causes | blue colour
Scattering | reddening at | sunrise
blue colour | Scattering of | light
Scattering | causes | blue colour of sky
eye | can focus on | objects
eye | adjusting | length of eye lens
human eye | adjusting | focal length
human eye | can focus on | objects at different distances
eye | can focus on | objects at different distances
human eye | adjusting | focal length of eye lens
human eye | can focus on | objects
eye | adjusting | focal length of eye lens
human eye | can focus on | objects at distances
eye | can focus on | objects at distances
eye | adjusting | length
human eye | adjusting | length
human eye | adjusting | length of eye lens
eye | adjusting | focal length
This | is due to | presbyopia
This | is | due
eye | forms | image
human eye | forms | image
eye | forms | image of object
eye | forms | image of object at its cornea
human eye | forms | image of object at its cornea
human eye | forms | image of object
least distance | is about | 25 m. 2.5 cm
distance | is about | 25 m. 2.5 cm
change | is | caused
change | is caused by | action of pupil
change | is in | focal length of eye lens
change | is caused by | action
person | needs | lens
person | needs | lens of power
he | lens of | power
he | needs | lens
he | needs | lens of power
focal length | What | ii
length | What | ii
focal length | What | ii near vision
length | What | ii near vision
point | is | 80 cm
far point | is | 80 cm
nature | correct | power
nature | correct | problem
hypermetropia | is | how corrected
hypermetropia | is | corrected
point | is | 1 m
near point | is | 1 m
near point | is | 25 cm
